job_title,location,date,comany_name,job_link
Data Strategy Consultant,UAE,22 Sep 2023,Core Consultants,/mobile/uae/jobs/data-strategy-consultant-388588
Data Analyst / Specialist,Dubai,9 Aug 2023,Ultimate HR Solutions,/mobile/uae/jobs/data-analyst-specialist-382848
Data Manager - Consulting Technology,Riyadh,29 Oct 2023,PricewaterhouseCoopers,/mobile/saudi-arabia/jobs/data-manager-consulting-technology-346256
Data Entry Officer - 6 Months (Extendable),Dubai,18 Jul 2023,ManpowerGroup Middle East,/mobile/uae/jobs/data-entry-officer-6-months-extendable-380395
Data Analytics Lead,UAE,26 Jul 2023,Michael Page,/mobile/uae/jobs/data-analytics-lead-381356
Data Governance Manager,UAE,3 Aug 2023,Michael Page,/mobile/uae/jobs/data-governance-manager-382246
Data Engineering Manager,UAE,3 Aug 2023,Michael Page,/mobile/uae/jobs/data-engineering-manager-382247
Data Architect,UAE,1 Sep 2023,Michael Page,/mobile/uae/jobs/data-architect-385954
Data Engineer,Saudi Arabia,18 Sep 2023,ManpowerGroup Middle East,/mobile/saudi-arabia/jobs/data-engineer-388119
Data Center Manager,Saudi Arabia,19 Jun 2023,Innovative Contractors for Advanced Dimensions (ICAD),/mobile/saudi-arabia/jobs/data-center-manager-377312
Data Governance Director (Metadata),UAE,1 Aug 2023,Michael Page,/mobile/uae/jobs/data-governance-director-metadata-381841
Data Scientist Manager,Saudi Arabia,9 Aug 2023,Michael Page,/mobile/saudi-arabia/jobs/data-scientist-manager-382845
Data Analyst,Dubai,21 Aug 2023,RTC-1 Employment Services,/mobile/uae/jobs/data-analyst-384081
Data Analyst,Abu Dhabi,31 Jul 2023,Flow Talent,/mobile/uae/jobs/data-analyst-384706
Data Entry/Admin,UAE,19 Sep 2023,ManpowerGroup Middle East,/mobile/uae/jobs/data-entry-admin-389772
Data Engineer - Data Integration,Cairo,9 Nov 2023,IBM Middle East,/mobile/egypt/jobs/data-engineer-data-integration-390455
Data Analyst,Qatar,26 Oct 2023,Quest Search & Selection ,/mobile/qatar/jobs/data-analyst-392756
Data Scientist - Senior Specialist,UAE,31 Oct 2023,Michael Page,/mobile/uae/jobs/data-scientist-senior-specialist-393211
Data and Information Management Team Lead,Dubai,3 Nov 2023,Charterhouse,/mobile/uae/jobs/data-and-information-management-team-lead-393595
Data Scientist,UAE,4 Jul 2023,Michael Page,/mobile/uae/jobs/data-scientist-378508
Data Analytics Manager,Muscat,7 Nov 2023,Ooredoo,/mobile/oman/jobs/data-analytics-manager-393920
Data Analytics Internal Audit Manager,Dubai,8 Sep 2023,Flow Talent,/mobile/uae/jobs/data-analytics-internal-audit-manager-387093
Data Consultant,UAE,4 Jul 2023,Michael Page,/mobile/uae/jobs/data-consultant-378510
Data Analyst / Audit Analyst,Khobar,1 Sep 2023,Deloitte & Touche (M.E.),/mobile/saudi-arabia/jobs/data-analyst-audit-analyst-381282
Head of Data Privacy Advisory and Governance,Saudi Arabia,27 Sep 2023,Michael Page,/mobile/saudi-arabia/jobs/head-of-data-privacy-advisory-and-governance-389041
